model,seed,condition,cohort,nll,token_count,relation_stratum,family_id,family_order
transformer_l_legacy,0,clean,treated,0.6360471246699627,3093,structurally_nonexact,family_d1a92696717aa9c2,176
transformer_l_legacy,0,clean,treated,1.0014021810830425,1216,structurally_nonexact,family_3835425eafb00035,524
transformer_l_legacy,0,clean,treated,0.7080730097097101,412,structurally_nonexact,family_a534382ff42b71fb,634
transformer_l_legacy,0,clean,treated,0.5180226703016196,4197,structurally_nonexact,family_6d17de7e325f25f8,467
transformer_l_legacy,0,clean,treated,0.5248468727906341,779,structurally_nonexact,family_56b1bf9100abf79a,254
transformer_l_legacy,0,clean,treated,1.3599404243162219,15674,structurally_nonexact,family_9edbfcdbf27d8472,87
transformer_l_legacy,0,clean,treated,0.38354430251033805,3153,structurally_nonexact,family_db6398f302f77cb4,563
transformer_l_legacy,0,clean,treated,0.6759326225207808,10203,canonical_event_exact,family_776fb0c74fb6af96,253
transformer_l_legacy,0,clean,treated,0.8158137167141148,1748,structurally_nonexact,family_be459453ebdfa1da,627
transformer_l_legacy,0,clean,treated,0.6679768466820288,3230,structurally_nonexact,family_439fc19617b55d44,309
transformer_l_legacy,0,clean,treated,0.6235160540323704,2560,structurally_nonexact,family_328dc279bafe7f69,265
transformer_l_legacy,0,clean,treated,0.9325820054313304,3803,structurally_nonexact,family_ac0566dd944bc201,327
transformer_l_legacy,0,clean,treated,0.8368054032325745,477,canonical_event_exact,family_3fbe0e330aecdc00,482
transformer_l_legacy,0,clean,treated,0.833495560864156,704,structurally_nonexact,family_04795413b15e0b98,576
transformer_l_legacy,0,clean,treated,1.097007110284554,1108,structurally_nonexact,family_348b29b5f47eda18,220
transformer_l_legacy,0,clean,treated,1.2057265492597542,8731,structurally_nonexact,family_f77d449f1658a159,292
transformer_l_legacy,0,clean,treated,1.206005334854126,242,structurally_nonexact,family_39849966d6043c11,378
transformer_l_legacy,0,clean,treated,1.0315931779836471,3169,structurally_nonexact,family_af212e596b07120e,405
transformer_l_legacy,0,clean,treated,0.4920430829045475,9069,structurally_nonexact,family_2d3e3d92f30c4369,600
transformer_l_legacy,0,clean,treated,0.6049379590662861,1674,structurally_nonexact,family_f0c0dd7c2f3b6a3f,661
transformer_l_legacy,0,clean,treated,0.9884806545275562,2491,structurally_nonexact,family_5aaa5f6f546aa704,105
transformer_l_legacy,0,clean,treated,0.8891635385522579,5759,structurally_nonexact,family_78031f033e192cce,11
transformer_l_legacy,0,clean,treated,0.7401981353759766,467,structurally_nonexact,family_961cefc620e3d5ab,408
transformer_l_legacy,0,clean,treated,0.8511071229320275,3303,canonical_event_exact,family_fe2836cc1cef695c,336
transformer_l_legacy,0,clean,treated,1.1090018771709658,9124,structurally_nonexact,family_0f71c7e0830e1d85,624
transformer_l_legacy,0,clean,treated,0.41446492043680877,6286,structurally_nonexact,family_2dbafe5054d4bee7,414
transformer_l_legacy,0,clean,treated,0.6811852448437764,14987,structurally_nonexact,family_52885ec61f0240b9,687
transformer_l_legacy,0,clean,treated,0.8771174848298013,5460,structurally_nonexact,family_b88eee6ecd7ef6bc,366
transformer_l_legacy,0,clean,treated,1.1649093872013507,20432,structurally_nonexact,family_de67cf52f9a2ce89,267
transformer_l_legacy,0,clean,treated,1.0804143307918128,854,structurally_nonexact,family_7b8c8789f38183da,317
transformer_l_legacy,0,clean,treated,0.7947088317948219,10665,structurally_nonexact,family_774f10d6c3d75980,145
transformer_l_legacy,0,clean,treated,0.6829958880264928,29458,structurally_nonexact,family_6fbe37a0a6611f64,520
transformer_l_legacy,0,clean,treated,0.7318902836066419,12501,structurally_nonexact,family_c64269798048b60f,666
