model,condition,family_id,metric,value
transformer_l,clean,family_d1a92696717aa9c2,bar_pair_similarity,0.03819911972085885
transformer_l,clean,family_d1a92696717aa9c2,si_short,0.0
transformer_l,clean,family_d1a92696717aa9c2,si_medium,
transformer_l,clean,family_d1a92696717aa9c2,si_long,
transformer_l,clean,family_d1a92696717aa9c2,motif_repetition_rate,0.0
transformer_l,clean,family_d1a92696717aa9c2,repeated_pattern_count,0.0
transformer_l,clean,family_d1a92696717aa9c2,mean_repeated_pattern_length,
transformer_l,clean,family_d1a92696717aa9c2,longest_repeated_pattern_length,0.0
transformer_l,clean,family_d1a92696717aa9c2,self_similarity_offdiag_mean,0.03819911972085885
transformer_l,clean,family_d1a92696717aa9c2,self_similarity_high_fraction,0.0
transformer_l,clean,family_d1a92696717aa9c2,groove_consistency,0.15842490842490842
transformer_l,clean,family_d1a92696717aa9c2,grooving_pattern_similarity,0.15842490842490842
transformer_l,clean,family_d1a92696717aa9c2,ioi_mean,2.1468253968253967
transformer_l,clean,family_d1a92696717aa9c2,ioi_variance,0.1877456538170824
transformer_l,clean,family_d1a92696717aa9c2,ioi_entropy,0.20356887038909424
transformer_l,clean,family_d1a92696717aa9c2,ioi_jsd_to_receiver,0.16066762955946365
transformer_l,clean,family_d1a92696717aa9c2,duration_jsd_to_receiver,0.1449544827978271
transformer_l,clean,family_d1a92696717aa9c2,duration_entropy,1.6284867234563172
transformer_l,clean,family_d1a92696717aa9c2,onset_pattern_entropy,0.8666666666666667
transformer_l,clean,family_d1a92696717aa9c2,rhythmic_density,14.166666666666666
transformer_l,clean,family_d1a92696717aa9c2,syncopation,
transformer_l,clean,family_d1a92696717aa9c2,pitch_class_entropy,2.4485605102531705
transformer_l,clean,family_d1a92696717aa9c2,pitch_class_histogram_jsd_to_receiver,0.11183719392710828
transformer_l,clean,family_d1a92696717aa9c2,scale_consistency,0.9946666666666667
transformer_l,clean,family_d1a92696717aa9c2,pitch_interval_mean,0.31111111111111106
transformer_l,clean,family_d1a92696717aa9c2,pitch_interval_variance,129.64560185185186
transformer_l,clean,family_d1a92696717aa9c2,pitch_interval_jsd_to_receiver,0.3603269100572641
transformer_l,clean,family_d1a92696717aa9c2,pitch_range,25.666666666666668
transformer_l,clean,family_d1a92696717aa9c2,used_pitch_classes,6.533333333333333
transformer_l,clean,family_d1a92696717aa9c2,tonal_key_consistency,0.9946666666666667
transformer_l,clean,family_d1a92696717aa9c2,chord_progression_irregularity,
transformer_l,clean,family_d1a92696717aa9c2,chord_ngram_distribution,
transformer_l,clean,family_d1a92696717aa9c2,chord_transition_entropy,
transformer_l,clean,family_d1a92696717aa9c2,harmonic_tonal_distance,
transformer_l,clean,family_d1a92696717aa9c2,chord_diversity,
transformer_l,clean,family_d1a92696717aa9c2,note_density,14.166666666666666
transformer_l,clean,family_d1a92696717aa9c2,polyphony,3.0099206349206344
transformer_l,clean,family_d1a92696717aa9c2,polyphony_rate,0.5932010582010582
transformer_l,clean,family_d1a92696717aa9c2,empty_beat_rate,0.7020833333333333
transformer_l,clean,family_d1a92696717aa9c2,empty_measure_rate,0.1
transformer_l,clean,family_d1a92696717aa9c2,qualified_note_ratio,1.0
transformer_l,clean,family_d1a92696717aa9c2,average_note_duration,4.794666666666666
transformer_l,clean,family_d1a92696717aa9c2,duration_variance,8.925866666666668
transformer_l,clean,family_d1a92696717aa9c2,pitch_range,25.666666666666668
transformer_l,clean,family_d1a92696717aa9c2,used_pitch_classes,6.533333333333333
transformer_l,clean,family_d1a92696717aa9c2,notes_per_bar,14.166666666666666
transformer_l,clean,family_d1a92696717aa9c2,onset_density,0.29791666666666666
transformer_l,clean,family_d1a92696717aa9c2,pitch_class_jsd,0.11183719392710828
transformer_l,clean,family_d1a92696717aa9c2,pitch_interval_jsd,0.3603269100572641
transformer_l,clean,family_d1a92696717aa9c2,ioi_jsd,0.16066762955946365
transformer_l,clean,family_d1a92696717aa9c2,duration_jsd,0.1449544827978271
transformer_l,clean,family_d1a92696717aa9c2,density_wasserstein,11.114646864686467
transformer_l,clean,family_d1a92696717aa9c2,ioi_wasserstein,0.3520660066006601
transformer_l,clean,family_d1a92696717aa9c2,duration_wasserstein,1.2632607260726074
transformer_l,clean,family_d1a92696717aa9c2,pitch_interval_wasserstein,1.8961254125412539
transformer_l,unrelated_donor,family_d1a92696717aa9c2,bar_pair_similarity,0.01286231884057971
transformer_l,unrelated_donor,family_d1a92696717aa9c2,si_short,0.0
transformer_l,unrelated_donor,family_d1a92696717aa9c2,si_medium,
transformer_l,unrelated_donor,family_d1a92696717aa9c2,si_long,
transformer_l,unrelated_donor,family_d1a92696717aa9c2,motif_repetition_rate,0.0
transformer_l,unrelated_donor,family_d1a92696717aa9c2,repeated_pattern_count,0.0
transformer_l,unrelated_donor,family_d1a92696717aa9c2,mean_repeated_pattern_length,
transformer_l,unrelated_donor,family_d1a92696717aa9c2,longest_repeated_pattern_length,0.0
transformer_l,unrelated_donor,family_d1a92696717aa9c2,self_similarity_offdiag_mean,0.01286231884057971
transformer_l,unrelated_donor,family_d1a92696717aa9c2,self_similarity_high_fraction,0.0
transformer_l,unrelated_donor,family_d1a92696717aa9c2,groove_consistency,0.13234126984126984
transformer_l,unrelated_donor,family_d1a92696717aa9c2,grooving_pattern_similarity,0.13234126984126984
transformer_l,unrelated_donor,family_d1a92696717aa9c2,ioi_mean,2.1271957671957673
transformer_l,unrelated_donor,family_d1a92696717aa9c2,ioi_variance,0.8750845721004451
transformer_l,unrelated_donor,family_d1a92696717aa9c2,ioi_entropy,0.34260594760183966
transformer_l,unrelated_donor,family_d1a92696717aa9c2,ioi_jsd_to_receiver,0.1250446537141423
transformer_l,unrelated_donor,family_d1a92696717aa9c2,duration_jsd_to_receiver,0.12974689189914487
transformer_l,unrelated_donor,family_d1a92696717aa9c2,duration_entropy,1.7616451391295305
transformer_l,unrelated_donor,family_d1a92696717aa9c2,onset_pattern_entropy,0.6666666666666666
transformer_l,unrelated_donor,family_d1a92696717aa9c2,rhythmic_density,16.666666666666668
