family_id,normalized_classification,original_classification,classification_changed,donor_note_events,receiver_note_events
family_d1a92696717aa9c2,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,989,989
family_3835425eafb00035,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,1276,1276
family_a534382ff42b71fb,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,6766,6766
family_6d17de7e325f25f8,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,1590,1590
family_56b1bf9100abf79a,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,3740,3740
family_9edbfcdbf27d8472,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,3402,3402
family_db6398f302f77cb4,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,3753,3748
family_776fb0c74fb6af96,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_EXACT,False,901,901
family_be459453ebdfa1da,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,3880,3880
family_439fc19617b55d44,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,8133,7259
family_328dc279bafe7f69,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,1583,1612
family_ac0566dd944bc201,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,819,813
family_3fbe0e330aecdc00,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_EXACT,False,5101,5101
family_04795413b15e0b98,NORMALIZED_STRUCTURAL_EXACT,STRUCTURAL_NONEXACT,True,3942,3942
family_348b29b5f47eda18,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,550,550
family_f77d449f1658a159,NORMALIZED_STRUCTURAL_NONEXACT,STRUCTURAL_NONEXACT,False,1332,2582
