family_id,split,seed_0_delta,seed_1_delta,seed_2_delta,mean_delta,negative_direction,family_order
family_f62176e3e9e80995,treated,-0.03940737120859106,-0.0496543447934944,-0.08098708149051881,-0.056682932497534755,True,9
family_372bca09daa2e59c,treated,-0.06278086023535379,-0.0834958963362673,-0.08916520367104341,-0.0784806534142215,True,16
family_7372cedf8e9b0da9,treated,-0.06626260126459182,-0.0584258954072821,-0.06059437342758833,-0.061760956699820756,True,20
family_d146c709b6d57006,treated,-0.07239637724764936,-0.07147439944279654,-0.057641396243850895,-0.06717072431143227,True,22
family_f676c1a274b9fc25,treated,-0.09993280102341573,-0.0976017756042793,-0.11907238843980483,-0.10553565502249995,True,27
family_38aef633ce47c55b,treated,0.0092727627594823,-0.03371847045288778,-0.007932204165830514,-0.010792637286411999,True,30
family_606242910f42ab8e,treated,-0.07214600528787263,-0.06631049373653897,-0.08698878836178725,-0.07514842912873294,True,31
family_14100b61aef92451,treated,-0.17878806430825195,-0.1833696388275195,-0.1931171922481929,-0.1850916317946548,True,32
family_b79ba27218cfec3a,treated,-0.08664014354624133,-0.09411230991008107,-0.09097459379721567,-0.09057568241784603,True,45
family_10ea4c959d508d3a,treated,-0.011483338217909034,-0.022495930676967202,-0.03704352139177225,-0.02367426342888283,True,53
family_54cada16b34da893,treated,-0.03134436202441304,-0.026444939461910955,-0.049125287877079815,-0.03563819645446794,True,67
family_d00ed582e8933047,treated,0.009776756690196287,-0.024784404002367366,-0.024074603856710786,-0.013027417056293955,True,69
family_f44b2ae87e6c19c9,treated,-0.01208226689760794,0.01072110041690627,-0.08853808776548455,-0.029966418082062074,True,75
family_43eb9f3c79bfa424,treated,-0.09783874306463658,-0.0829136219412141,-0.11022608706963544,-0.09699281735849537,True,77
family_7ba5737bedbb0ebb,treated,-0.04824596706796358,-0.0872754440573339,-0.09031444480368034,-0.07527861864299261,True,90
family_9fcfd1f061a07fdd,treated,-0.05187304977265876,-0.05703654546215936,-0.0518809499084274,-0.05359684838108184,True,96
family_92111478a4e4dc10,treated,-0.12482674962493134,-0.0941307879603025,-0.1365569989281672,-0.11850484550446701,True,114
family_0d96bd7e73513afe,treated,-0.04935390746436141,-0.06088704711337822,-0.06641246751556995,-0.058884474031103196,True,121
family_e05b3b80c8af829a,treated,-0.2451192372908776,-0.26057755244261394,-0.27401669895968245,-0.259904496231058,True,141
family_6c4da332ef0988d1,treated,-0.03151549723079916,-0.04590947538019219,-0.05374817081576777,-0.04372438114225304,True,142
family_c5efd28cb58a7154,treated,0.004292220150863724,-0.011159522001364053,-0.033865722887118865,-0.013577674912539731,True,153
family_602f06061ae180d5,treated,0.005521087149059634,-0.007295915501337347,-0.0114306448856355,-0.004401824412637738,True,155
family_39e9d2f6901e2c3c,treated,-0.06550743886463939,-0.07014332545120283,-0.06804004610079584,-0.06789693680554602,True,158
family_a492c7d45a2a101f,treated,-0.025043160227693484,-0.008577574822100698,-0.023245865150718636,-0.018955533400170938,True,161
family_d8af1edd7b3a915e,treated,-0.006777718400963584,0.0024435585000824322,0.004539505386805698,6.844849530818209e-05,False,163
family_5f8029db8371e627,treated,-0.004280494835417148,-0.004299509457949158,0.03585691091704507,0.009092302207892922,False,165
family_e030933a6e53e46b,treated,-0.056964826378329,-0.0645875971499853,-0.0658892599038372,-0.062480561144050505,True,168
family_bb71b9ef2d24550b,treated,-0.07928803565723075,-0.06940303870535391,-0.08990209372518787,-0.07953105602925752,True,173
family_e41e34f36378682d,treated,-0.02663837115497436,-0.018014469238893382,-0.018714994901979587,-0.021122611765282445,True,178
family_412cd5d8186672af,treated,-0.006199563172071654,-0.02246082385039977,0.00031846645734512347,-0.0094473068550421,True,180
family_3aa7a20bd53365ee,treated,-0.09211169272567199,-0.10441064462300731,-0.11811557523083605,-0.10487930419317178,True,195
family_f504f3830437dcae,treated,-0.08102996106212479,-0.07730746768802577,-0.09275643032050729,-0.08369795302355261,True,198
family_c6c852f0526b7ae7,treated,-0.08970340977942526,-0.09878065903994915,-0.10901984375602791,-0.09916797085846744,True,202
family_3118a97dac7df7b9,treated,-0.004838914034382413,-0.021324666584564334,-0.0060703330482078655,-0.010744637889051537,True,210
family_2d9ae7dd453e8ed5,treated,-0.2964163878804189,-0.2761704629414819,-0.2909825221418533,-0.2878564576545847,True,227
family_5cb0d0cb4b5fec1d,treated,-0.1791466392376107,-0.25133917857019744,-0.31108009918993296,-0.24718863899924703,True,233
family_a03ceb6bd35e9a91,treated,-0.1836678385734558,-0.10606563091278076,0.06559574604034424,-0.07471257448196411,True,239
family_116f02d2c90563fb,treated,-0.015445093652289466,-0.004255742760363945,-0.01334428742438376,-0.011015041279012391,True,242
family_b2530645f1ddb95c,treated,-0.05131428256205428,-0.07577497919231002,-0.08841886777035868,-0.07183604317490766,True,250
family_66d00c35f9b4c3e5,treated,-0.09604333246844865,-0.09719318737482341,-0.10597192335655115,-0.0997361477332744,True,252
family_5e3e997400ef55a6,treated,-0.2287905884348168,-0.2132252870706543,-0.22528895589046768,-0.22243494379864626,True,254
family_058b5f5b307b1065,treated,-0.05867265584041548,-0.058393021165480175,-0.08095151290535418,-0.06600572997041661,True,262
family_031ad2b389fe0cfe,treated,-0.0901314530600893,-0.08046034555242032,-0.09657707949414385,-0.08905629270221782,True,265
