seed,condition,cohort,nll,token_count,family_id,family_order
0,clean,treated,0.6283755242488253,3013,family_f62176e3e9e80995,9
0,clean,treated,0.6116984863824482,1817,family_372bca09daa2e59c,16
0,clean,treated,0.5795210615725352,1450,family_7372cedf8e9b0da9,20
0,clean,treated,0.6486180588796542,1925,family_d146c709b6d57006,22
0,clean,treated,0.6604903072508091,24342,family_f676c1a274b9fc25,27
0,clean,treated,0.8677817328643666,7180,family_38aef633ce47c55b,30
0,clean,treated,0.6112445988734374,2105,family_606242910f42ab8e,31
0,clean,treated,0.5659971752155177,18751,family_14100b61aef92451,32
0,clean,treated,0.5020674104767817,2160,family_b79ba27218cfec3a,45
0,clean,treated,0.5753180737742131,6011,family_10ea4c959d508d3a,53
0,clean,treated,0.5858771735141848,973,family_54cada16b34da893,67
0,clean,treated,0.9975723571302006,12399,family_d00ed582e8933047,69
0,clean,treated,0.45780078375244637,16084,family_f44b2ae87e6c19c9,75
0,clean,treated,0.6581819638342716,3458,family_43eb9f3c79bfa424,77
0,clean,treated,0.7318938767165801,5222,family_7ba5737bedbb0ebb,90
0,clean,treated,0.13195248370390927,4588,family_9fcfd1f061a07fdd,96
0,clean,treated,0.7182967726791697,3419,family_92111478a4e4dc10,114
0,clean,treated,0.6939014679073878,5531,family_0d96bd7e73513afe,121
0,clean,treated,0.6680807645328238,4219,family_e05b3b80c8af829a,141
0,clean,treated,0.7317623162205128,9616,family_6c4da332ef0988d1,142
0,clean,treated,0.6322977339951135,5337,family_c5efd28cb58a7154,153
0,clean,treated,0.5880294101413883,21679,family_602f06061ae180d5,155
0,clean,treated,0.5910886281026155,7228,family_39e9d2f6901e2c3c,158
0,clean,treated,0.43964887237536215,5672,family_a492c7d45a2a101f,161
0,clean,treated,0.383779802773671,5682,family_d8af1edd7b3a915e,163
0,clean,treated,0.47442253993055916,885,family_5f8029db8371e627,165
0,clean,treated,0.6164390780077019,9860,family_e030933a6e53e46b,168
0,clean,treated,0.6901363634562993,2288,family_bb71b9ef2d24550b,173
0,clean,treated,0.6503735577766898,2561,family_e41e34f36378682d,178
0,clean,treated,0.3472815234347304,3495,family_412cd5d8186672af,180
0,clean,treated,0.7234248026688392,3170,family_3aa7a20bd53365ee,195
0,clean,treated,0.6170762943754127,7958,family_f504f3830437dcae,198
0,clean,treated,0.5947580638158354,2968,family_c6c852f0526b7ae7,202
0,clean,treated,0.5323430317521884,1510,family_3118a97dac7df7b9,210
0,clean,treated,0.5821405160413444,20961,family_2d9ae7dd453e8ed5,227
0,clean,treated,0.5405848049289197,6203,family_5cb0d0cb4b5fec1d,233
0,clean,treated,1.1041030883789062,21,family_a03ceb6bd35e9a91,239
0,clean,treated,0.31621750206770544,998,family_116f02d2c90563fb,242
0,clean,treated,0.8147746363271444,3047,family_b2530645f1ddb95c,250
0,clean,treated,0.754295617674338,8788,family_66d00c35f9b4c3e5,252
0,clean,treated,0.4913684899326602,20895,family_5e3e997400ef55a6,254
0,clean,treated,0.7830503114775805,4447,family_058b5f5b307b1065,262
0,clean,treated,0.6384348197917892,2444,family_031ad2b389fe0cfe,265
0,clean,treated,0.6100213725198029,13148,family_716b7f5021a82ccf,270
0,clean,treated,0.1344023819269049,4588,family_dfc0de51587939cb,276
0,clean,treated,0.6568913103525833,2426,family_0b1b5d8b94feabb4,277
0,clean,treated,0.6291409178309277,6119,family_763b9e5cc1615062,284
0,clean,treated,0.5361223222305066,2618,family_46272ba2e3baaec4,287
0,clean,treated,0.7316909227561528,3608,family_91ac71586309274f,291
0,clean,treated,0.6114867979597404,5126,family_ef7c669ce887d98d,306
0,clean,treated,0.3948503303194138,8288,family_69280d70016898d4,315
0,clean,treated,0.5375671235979833,7074,family_e26c412d2bf4ef23,334
0,clean,treated,0.80069496822925,7054,family_5bd41b6f65a3fa08,338
0,clean,treated,0.7070693137773093,1329,family_2a9acaaaa206857f,345
0,clean,treated,0.6077803433879675,3367,family_8626120333d3a6fd,352
0,clean,treated,0.6179463583190262,2489,family_af71579703adab9b,354
0,clean,treated,0.8431307312804982,2170,family_961ce22dc50c2496,385
0,clean,treated,0.6880564292023068,11177,family_4020f09183bfa8c1,392
0,clean,treated,0.8813226934607368,5436,family_9f027a57e4f4ec31,399
0,clean,treated,0.7822834253311157,342,family_13798f417b635e9a,401
0,clean,treated,0.45077428132363234,8373,family_3d13c5c8c00a7596,406
0,clean,treated,0.612604258747629,3846,family_92206bde258af4e4,411
0,clean,treated,0.7794802673345581,11304,family_9bd228a47681c7b2,412
0,clean,treated,0.894799638004578,6866,family_a55e4bdb2c90ea5b,424
0,clean,treated,0.4826145179662357,2252,family_adc8419161645915,426
0,clean,treated,0.5990418923272891,14110,family_76bd9632508fc892,441
0,clean,treated,0.5747562960412712,1939,family_f52b6909b0ebd60b,459
0,clean,control,0.3252588126298057,1511,family_ceaf8a343a31cbd9,18
0,clean,control,0.31664473320117587,1479,family_dd63a4fd117ff862,101
0,clean,control,0.7795979047860488,3167,family_52b6f81b853b12ca,33
0,clean,control,0.9696151975909573,6583,family_e166239f4cce0cbc,403
0,clean,control,0.3764038086707089,3098,family_b976189e2858871b,98
0,clean,control,0.6085052280971894,1568,family_ba5cd8130b572f33,146
0,clean,control,0.651294441666034,33430,family_98b6d659a93238e0,414
0,clean,control,0.44288669500757416,10042,family_41e212eb6a6f1251,199
0,clean,control,0.340297132730484,5316,family_35a8274c2c9e03b7,436
0,clean,control,0.31612426377818215,10156,family_22ce6dcdaaacc1b3,383
0,clean,control,0.8800293909468848,12560,family_f24faf403f0945b9,118
0,clean,control,0.6071582359361016,11087,family_56ee0f65aee3b01a,416
0,clean,control,0.47938086967018834,2992,family_a84fdd88fca1dd99,368
0,clean,control,0.5299378423929377,2938,family_14836bf70ba6bcc9,139
0,clean,control,0.5438464962055324,6475,family_161d3f17d2de86cc,245
0,clean,control,0.7476236192907568,1811,family_09f6c0e15252a8f3,230
0,clean,control,0.8171748175147714,1491,family_8ccf630c818a7c69,390
0,clean,control,0.5263231893453487,10886,family_10c3be0f4e5ac610,119
0,clean,control,0.5573494544735661,1269,family_7dccd114e1c42fda,422
0,clean,control,0.5896372750473483,414,family_098eba68cc7a5705,297
0,clean,control,0.7142752063465628,935,family_e74855c30bc72109,288
0,clean,control,0.8457837215376116,663,family_5cb426dcc2868bf0,80
0,clean,control,0.42791138105702886,8694,family_5599c85abb41e72e,79
0,clean,control,0.73954005657984,7792,family_20959b526eb3f90b,409
0,clean,control,0.47508241884619185,5959,family_81caaa199e04696e,0
0,clean,control,0.43022791041495634,2097,family_e8fbaa3c44712ef8,275
0,clean,control,0.40752272017655394,1489,family_27dd5edc76fc8784,221
0,clean,control,0.6807995289711615,16166,family_fe02b4f4619b881d,226
0,clean,control,0.7836166024208069,2986,family_f91bbb3ed944db7f,348
0,clean,control,0.8323541596839562,13560,family_2609262775f19fee,130
0,clean,control,1.0264711241480176,1222,family_176e7f37ba5c58aa,402
0,clean,control,0.7962250448074333,9137,family_aa758de10b858582,219
0,clean,control,0.6897567021860321,3519,family_0f71bd81fce2ffce,24
0,clean,control,0.4470570249648034,474,family_e7f08820ef277e3f,236
0,clean,control,0.6102282584743973,3702,family_98f3631f76084496,423
0,clean,control,0.7684368025342503,5621,family_359bf4cb84d86e8e,251
0,clean,control,0.5074483515391993,2904,family_208e11010803c426,362
0,clean,control,0.7013654196938061,14008,family_012ed35c0fd13d06,55
0,clean,control,0.5518948679014253,17427,family_90c57504d43c4f71,319
