family_id,gain,pitch_4gram_similarity,interval_4gram_similarity,rhythm_4gram_similarity,duration_4gram_similarity,normalized_structural_edit_similarity,longest_shared_normalized_event_subsequence,token_4gram_similarity,token_8gram_similarity,token_16gram_similarity,receiver_length,donor_token_count,family_window_count_proxy
family_e3c89d0945320ec5,0.09614545560571464,0.5981735159817352,0.5398230088495575,1.0,0.7156862745098039,0.9313543599257885,0.1341743119266055,0.7915831663326653,0.6018518518518519,0.39010543390105434,897,897,6
family_5facacfb4d33d062,0.12900271930492047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1008,1008,29
family_15b8f6d235825863,0.08475999519627747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1022,1022,6
family_78031f033e192cce,0.2497160161729004,0.36585365853658536,0.31756756756756754,1.0,0.48484848484848486,0.8547854785478548,0.09378185524974515,0.7028862478777589,0.5112490302560124,0.29751511081262594,1006,1006,24
family_debbecc1e7f77f3e,0.17419692915480622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1020,1020,34
family_5d6a15b20dff7233,0.36640268404701914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1023,1023,28
family_58a5b18cf3751bf1,0.24407146352919334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1004,1004,10
family_da2cbb03fa208ffc,0.08367491316521308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,942,942,4
family_b3ba3218de08f591,0.16316055871997337,1.0,1.0,1.0,1.0,1.0,0.8391038696537678,1.0,0.9669669669669669,0.950950950950951,1004,1004,58
family_9edbfcdbf27d8472,0.17646035076805155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1020,1020,68
family_76f3986b08ecfc19,0.4174247952281225,1.0,1.0,1.0,0.9230769230769231,0.9902439024390244,1.0,0.9540229885057471,1.0,1.0,1023,1023,24
family_5aaa5f6f546aa704,0.24322667599091263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1020,1020,14
family_38ddaabf01adae92,0.18662301020773325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1020,1020,40
family_5cc4efa05e4dc250,0.12091721097628277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,997,997,2
family_3db848c291e71542,0.2184633248845274,1.0,1.0,1.0,1.0,1.0,0.11685116851168512,0.8460057747834456,0.5093632958801498,0.3806228373702422,962,962,12
family_4731a6d05dff34ce,0.2801964861223548,0.002506265664160401,0.0,0.43884892086330934,0.10497237569060773,0.15422077922077926,0.9989690721649485,0.062434963579604576,0.962,0.9616935483870968,1024,1024,96
family_1a8ff9e18d3eabea,0.07351660458288922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1017,1017,20
