scale,family_index,nonshared_tokens,same_minus_clean_differential,same_minus_clean_nonshared,same_minus_clean_shared,same_minus_unrelated_differential,same_minus_unrelated_nonshared,same_minus_unrelated_shared,shared_tokens
4,0,11,-0.1919751986861229,0.1042323112487793,-0.0877428874373436,-0.0378926657140255,-0.05918467417359352,-0.09707733988761902,497
4,1,92,-0.052732713520526886,-0.07263562828302383,-0.12536834180355072,-0.1219917768612504,-0.008902317844331264,-0.13089409470558167,5629
4,2,0,,,-0.09191273897886276,,,-0.0852636769413948,548
4,3,399,-0.24041566345840693,-0.01503294613212347,-0.2554486095905304,-0.22998952865600586,-0.035571008920669556,-0.2655605375766754,5360
4,4,0,,,-0.18316906690597534,,,-0.1743782013654709,4952
4,5,0,,,-0.3724088966846466,,,-0.3658013939857483,5203
4,6,1,0.17230606079101562,-0.4348958432674408,-0.26258978247642517,0.1520940661430359,-0.3958333432674408,-0.2437392771244049,1156
4,7,0,,,-0.07782568037509918,,,-0.083067387342453,377
4,8,0,,,-0.16386160254478455,,,-0.16298529505729675,9580
4,9,0,,,-0.18144184350967407,,,-0.17631083726882935,15674
4,10,38,-0.08749037981033325,-0.2922973334789276,-0.37978771328926086,-0.2296116203069687,-0.1897457093000412,-0.4193573296070099,3545
4,11,35,-0.3580518811941147,0.0866062194108963,-0.2714456617832184,-0.32250017672777176,0.0750412866473198,-0.24745889008045197,2456
4,12,0,,,-0.19947564601898193,,,-0.18681704998016357,6949
4,13,0,,,-0.12896592915058136,,,-0.12039151042699814,251
4,14,6,-0.25550465448759496,-0.0027626885566860437,-0.258267343044281,-0.2019700575619936,-0.017530230805277824,-0.21950028836727142,1281
4,15,12,-0.06375138461589813,-0.2374674528837204,-0.30121883749961853,0.04850226640701294,-0.3284776508808136,-0.27997538447380066,17065
4,16,0,,,-0.07690156251192093,,,-0.07370863854885101,1890
4,17,26,-0.10764168202877045,-0.14815424382686615,-0.2557959258556366,-0.176484614610672,-0.057372093200683594,-0.2338567078113556,10639
4,18,104,-0.09703168086707592,0.01662585698068142,-0.0804058238863945,-0.03172539174556732,-0.040078334510326385,-0.07180372625589371,418
4,19,6,-0.548691064119339,0.3799912929534912,-0.16869977116584778,-0.4216468781232834,0.2555067241191864,-0.16614015400409698,3087
4,20,0,,,-0.14093545079231262,,,-0.1299133598804474,533
