condition,variant,edge_recall_target,fp_injection_ratio_target,n_seeds,residual_known_cross_split_family_count_mean,residual_known_cross_split_family_count_median,residual_known_cross_split_family_count_q025,residual_known_cross_split_family_count_q975,residual_contaminated_test_family_rate_mean,residual_contaminated_test_family_rate_median,residual_contaminated_test_family_rate_q025,residual_contaminated_test_family_rate_q975,residual_contaminated_test_file_rate_mean,residual_contaminated_test_file_rate_median,residual_contaminated_test_file_rate_q025,residual_contaminated_test_file_rate_q975,split_abs_ratio_error_mean,split_abs_ratio_error_median,split_abs_ratio_error_q025,split_abs_ratio_error_q975,reassignment_fraction_vs_file_split_mean,reassignment_fraction_vs_file_split_median,reassignment_fraction_vs_file_split_q025,reassignment_fraction_vs_file_split_q975,inferred_nontrivial_component_count_mean,inferred_nontrivial_component_count_median,inferred_nontrivial_component_count_q025,inferred_nontrivial_component_count_q975,largest_inferred_component_mean,largest_inferred_component_median,largest_inferred_component_q025,largest_inferred_component_q975,component_size_median_mean,component_size_median_median,component_size_median_q025,component_size_median_q975,component_size_p95_mean,component_size_p95_median,component_size_p95_q025,component_size_p95_q975,reference_family_recovery_rate_mean,reference_family_recovery_rate_median,reference_family_recovery_rate_q025,reference_family_recovery_rate_q975,pairwise_relation_precision_mean,pairwise_relation_precision_median,pairwise_relation_precision_q025,pairwise_relation_precision_q975,pairwise_same_family_recall_mean,pairwise_same_family_recall_median,pairwise_same_family_recall_q025,pairwise_same_family_recall_q975,pairwise_relation_f1_mean,pairwise_relation_f1_median,pairwise_relation_f1_q025,pairwise_relation_f1_q975,over_merge_component_count_mean,over_merge_component_count_median,over_merge_component_count_q025,over_merge_component_count_q975,under_split_reference_family_count_mean,under_split_reference_family_count_median,under_split_reference_family_count_q025,under_split_reference_family_count_q975,runtime_s_mean,runtime_s_median,runtime_s_q025,runtime_s_q975
combined,global_chain,0.7,0.001,100,1854.46,1855.0,1785.9,1908.625,0.10474237316346972,0.10480682185595816,0.10093224097594834,0.10776917238261521,0.10836413530465949,0.10842293906810035,0.10447048611111111,0.11128192204301075,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,0.34007672448070964,0.34011626278974694,0.3388647297002145,0.34128449101427527,16471.43,16467.5,16397.9,16547.625,47.97,48.0,42.0,52.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.5785118045872,0.5784007308746454,0.5757212578737319,0.5818495456075395,0.9981894566311337,0.9983740951668613,0.9968423117722723,0.9988274156106122,0.580954994262081,0.5807115019713445,0.5735050164184022,0.588112281419368,0.7344459474687693,0.7342866646097828,0.7285260097813284,0.7400689376564347,37.97,38.0,37.475,38.0,8765.69,8768.0,8696.275,8823.725,0.15327249321991984,0.1519847799972922,0.13124227880234685,0.18440307885011858
combined,global_chain,0.7,0.005,100,1857.18,1852.0,1789.225,1932.1,0.10490753377713641,0.10460614595864738,0.10110954530403303,0.10914871931795996,0.10858254928315413,0.10850694444444445,0.10457689292114696,0.11329805107526882,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,0.34009156534741636,0.34006866000974456,0.33901551850628076,0.3411787848410347,16548.15,16556.5,16438.325,16617.25,48.67,49.0,43.475,56.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.5781083810164926,0.5782083954416503,0.574496321584844,0.5815382026253786,0.990549652324874,0.990939153077843,0.9848089644257187,0.9926289509213531,0.581215643499108,0.58101260069764,0.5750661849087046,0.5877359080114986,0.7325759075559287,0.7324367528292537,0.7277062234378492,0.7375876780404946,191.42,192.0,189.475,192.0,8774.08,8772.0,8702.75,8849.2,0.15605190042995673,0.15508976800265373,0.13646428184802062,0.1830099688964765
combined,global_chain,0.7,0.01,100,1860.65,1860.0,1773.275,1930.675,0.1051119884957589,0.10508485948980387,0.1001888027676422,0.10898877351126027,0.10887488799283153,0.10889896953405018,0.10396365367383513,0.11316784274193548,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,0.3400930214324516,0.34007986066386275,0.33914936632299325,0.3410743387413825,16655.15,16656.0,16574.85,16726.675,48.56,48.0,44.0,56.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.5782141655046401,0.5782324373707746,0.5749843727460691,0.5816524017887195,0.9816664574778021,0.9818845165305277,0.9787062948806227,0.9844813209391413,0.5811565599754576,0.5808251241322107,0.5748602447421345,0.5875944484212201,0.7300855589385529,0.730060232553287,0.7250797373287645,0.7356088709800608,382.31,382.0,379.0,385.0,8771.88,8771.5,8700.375,8839.05,0.1559950669198588,0.1550295124980039,0.1361382762202993,0.18442635240007801
combined,global_chain,0.8,0.001,100,1290.45,1292.0,1228.475,1354.675,0.07264126401742982,0.07272727295771751,0.06913108658002023,0.07623224146360451,0.07452956989247311,0.0745127688172043,0.070703125,0.07771197356630824,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,0.3399583335666803,0.33997905477679896,0.33892031294627606,0.3409180896164336,18023.75,18025.0,17953.475,18102.525,54.44,54.0,49.475,59.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.6978948886858681,0.697744867048132,0.6951483387026975,0.7008474780016348,0.9983257834661745,0.9983884882273582,0.9975270011827465,0.9988784205060703,0.7093589437683926,0.7093885991523787,0.7021329720148618,0.7169870811603095,0.8293876126088251,0.829411490062161,0.8244955227043171,0.8345606148779035,37.97,38.0,37.475,38.0,6282.88,6286.0,6221.475,6340.0,0.17342195799014007,0.17082082349952543,0.1462592059482631,0.21441771185200195
combined,global_chain,0.8,0.005,100,1289.14,1292.0,1226.475,1350.575,0.0725657251972451,0.07274161450412131,0.06900050932984185,0.07597860045362767,0.07444108422939069,0.07454077060931899,0.07067652329749104,0.07787438396057347,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,0.34012337520511193,0.3401358639344538,0.3389624554073958,0.34121728708956606,18088.19,18090.5,17999.8,18153.725,54.41,54.0,48.475,62.099999999999966,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.6976886089339807,0.697744867048132,0.6944018368033851,0.6999338846949079,0.9909882518549828,0.9913715137868641,0.9857560528651867,0.9933915973138787,0.7088011725807002,0.7085193896217519,0.7028456670188954,0.7147302609901035,0.82646609765329,0.8264573073270556,0.8220906532782017,0.8309093940883802,191.38,192.0,189.475,192.0,6287.17,6286.0,6240.475,6355.525,0.1821351625202078,0.1788844650000101,0.1548620472958646,0.24457288577723374
combined,global_chain,0.8,0.01,100,1289.87,1287.5,1230.425,1346.625,0.07260401749522138,0.07248620667254231,0.06932086933719911,0.07579518764472823,0.07446740591397849,0.07442876344086022,0.07131356406810035,0.07765036962365592,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,0.34010046986744025,0.3400826608273923,0.3390480004032236,0.3411299219874441,18177.5,18174.5,18100.0,18250.575,54.18,54.0,50.0,59.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.6979170072606625,0.6978891186228784,0.695315430110112,0.7008246381689667,0.982340595718791,0.9823968632617042,0.9789803489780021,0.9852227625042129,0.709039097385554,0.7094965402052016,0.7030413811909875,0.7144373998704707,0.823604046213005,0.8237734915316337,0.818823335792816,0.8277447362735284,382.15,382.0,378.475,384.525,6282.42,6283.0,6221.95,6336.525,0.17712344078026945,0.1756441410034313,0.1563589652232622,0.20828797327358184
combined,global_chain,0.9,0.001,100,675.34,676.0,631.275,724.525,0.03790225936335308,0.037941292502553625,0.03542707222627533,0.04066264807498492,0.038452060931899644,0.03853046594982079,0.0359052979390681,0.04105902777777778,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,0.34012242314951185,0.34011066246268784,0.3389298335022765,0.34123842832421414,19465.24,19461.0,19412.425,19522.525,60.35,60.0,57.0,64.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,0.8355272395056978,0.835601288647401,0.8341082848487762,0.8372457565995096,0.99834657864208,0.998437330249895,0.9973849980053077,0.9990157031939644,0.8490202361068502,0.8489506993444002,0.8439416663826113,0.854110565724739,0.9176458622900293,0.9175813329178051,0.9147262602227064,0.920753573194841,37.96,38.0,37.0,38.0,3420.54,3419.0,3384.8,3450.05,0.19016031191014918,0.18781464450148633,0.1676223147786004,0.22743369932341007
combined,global_chain,0.9,0.005,100,675.19,672.0,635.475,715.0,0.03789386243883797,0.037721022680683045,0.03566382569237034,0.040124751783725425,0.038449260752688175,0.03836245519713262,0.03614611335125448,0.04060259856630825,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,0.34001674497790657,0.34003785821091953,0.33890183186698103,0.341220787293978,19520.38,19518.5,19471.9,19571.0,61.19,61.0,57.0,70.09999999999997,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,0.8356219647064479,0.8355532047891523,0.8341082848487762,0.837094292446026,0.9910280465317075,0.9914908844669075,0.9845030064491788,0.9938389638201258,0.849048641647067,0.8493654202315619,0.8420470168501665,0.8543028712320051,0.9145561529256929,0.9145852626208059,0.9102344893386801,0.9181072970355905,191.29,191.0,189.0,192.0,3418.57,3420.0,3387.95,3450.05,0.19450391912978376,0.1921255885026767,0.1679643212499286,0.24073440462325374
combined,global_chain,0.9,0.01,100,677.45,676.0,635.475,724.1999999999999,0.038020563854593126,0.0379466165501431,0.03567068461741241,0.04065038130747299,0.03853382616487455,0.03853046594982079,0.03617271505376344,0.04122143817204301,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,0.34001534489614194,0.34000145608503535,0.33884386848191933,0.34121476694238945,19593.3,19594.5,19539.9,19651.2,60.84,61.0,57.0,65.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,0.8354560753954898,0.8354089532144059,0.8337188055969611,0.8370690484204453,0.9827775507179638,0.9829726530623007,0.9796323148007412,0.9852804549725612,0.8493375828021495,0.8492631602867824,0.843094045062549,0.8549499494381384,0.911194646367406,0.9112745244115688,0.9073222183190325,0.9145224647306132,381.82,382.0,378.0,384.525,3422.02,3423.0,3388.475,3458.15,0.19093409186010832,0.1896228079967841,0.16878516602500895,0.21424780932611612
false_negative,edge_drop,0.5,,100,2880.01,2880.0,2799.85,2948.15,0.1639995487407681,0.16404181120370342,0.1593039233475624,0.16797618369323686,0.17209901433691752,0.17229502688172044,0.16736251120071685,0.1763048835125448,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,1.120065411752691e-06,0.3399603496844217,0.3399706542862103,0.3384820873539015,0.34119334569138837,12966.52,12966.5,12876.65,13042.725,35.58,35.0,30.0,42.52499999999999,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.3765047843438958,0.376592777804491,0.37281218444968023,0.3799502332067125,1.0,1.0,1.0,1.0,0.35848132619786155,0.35835293315608274,0.353582506732113,0.36431156332731135,0.5277607445892545,0.5276286047018096,0.5224395035561629,0.5340591539954306,0.0,0.0,0.0,0.0,12966.83,12965.0,12895.175,13043.625,0.10367498238971166,0.10335124900302617,0.09025557555196428,0.12446057432425732
