key,model,metric,family,n_families,raw_p,domain_holm_p,global_holm_p,mean_effect,ci95_low,ci95_high
conditional_vae|bar_pair_similarity|same_minus_unrelated,conditional_vae,bar_pair_similarity,structure,64,0.1473852614738526,1.0,1.0,-0.006277291846652242,-0.014833711371347109,0.002198584479736518
transformer_l|bar_pair_similarity|same_minus_unrelated,transformer_l,bar_pair_similarity,structure,60,0.08459154084591541,1.0,1.0,0.008169291572142905,-0.0012247474002924001,0.01819016573152136
conditional_vae|si_short|same_minus_unrelated,conditional_vae,si_short,structure,64,0.2535746425357464,1.0,1.0,0.001673768254771544,0.0,0.004736425398431977
transformer_l|si_short|same_minus_unrelated,transformer_l,si_short,structure,60,0.7277272272772722,1.0,1.0,0.0002314814814814815,-0.00013888888888888883,0.0008333333333333334
conditional_vae|si_medium|same_minus_unrelated,conditional_vae,si_medium,structure,5,0.14678532146785322,1.0,1.0,0.010240883390393193,0.0,0.02258656240273887
transformer_l|si_medium|same_minus_unrelated,transformer_l,si_medium,structure,5,0.6739326067393261,1.0,1.0,0.00226521164021164,-0.004315476190476191,0.01111111111111111
conditional_vae|motif_repetition_rate|same_minus_unrelated,conditional_vae,motif_repetition_rate,structure,100,0.25417458254174585,1.0,1.0,0.0011808777623019111,0.0,0.0033617555246038223
transformer_l|motif_repetition_rate|same_minus_unrelated,transformer_l,motif_repetition_rate,structure,100,0.9565043495650435,1.0,1.0,-4.13255360623781e-05,-0.0009239766081871344,0.0008
conditional_vae|repeated_pattern_count|same_minus_unrelated,conditional_vae,repeated_pattern_count,structure,100,0.26417358264173585,1.0,1.0,0.005333333333333334,0.0,0.014666666666666668
transformer_l|repeated_pattern_count|same_minus_unrelated,transformer_l,repeated_pattern_count,structure,100,0.7521247875212479,1.0,1.0,-0.002,-0.008,0.002
conditional_vae|mean_repeated_pattern_length|same_minus_unrelated,conditional_vae,mean_repeated_pattern_length,structure,2,0.5029497050294971,1.0,1.0,0.13204099821746873,0.0,0.26408199643493746
transformer_l|mean_repeated_pattern_length|same_minus_unrelated,transformer_l,mean_repeated_pattern_length,structure,1,1.0,1.0,1.0,0.0,0.0,0.0
conditional_vae|longest_repeated_pattern_length|same_minus_unrelated,conditional_vae,longest_repeated_pattern_length,structure,100,0.27917208279172084,1.0,1.0,0.004,0.0,0.010666666666666666
transformer_l|longest_repeated_pattern_length|same_minus_unrelated,transformer_l,longest_repeated_pattern_length,structure,100,1.0,1.0,1.0,0.0,-0.002,0.002
conditional_vae|self_similarity_offdiag_mean|same_minus_unrelated,conditional_vae,self_similarity_offdiag_mean,structure,64,0.22037796220377961,1.0,1.0,-0.005386008475561126,-0.014119801276026883,0.0032643200180784925
transformer_l|self_similarity_offdiag_mean|same_minus_unrelated,transformer_l,self_similarity_offdiag_mean,structure,60,0.09619038096190381,1.0,1.0,0.007960898237532864,-0.0013860247207509594,0.017935890915816207
conditional_vae|self_similarity_high_fraction|same_minus_unrelated,conditional_vae,self_similarity_high_fraction,structure,64,0.7277272272772722,1.0,1.0,-0.0004148754454737166,-0.0032082231131696547,0.0020399305555555552
transformer_l|self_similarity_high_fraction|same_minus_unrelated,transformer_l,self_similarity_high_fraction,structure,60,0.34976502349765026,1.0,1.0,0.0014419804959020636,-0.0012833903931943147,0.004695948749870316
conditional_vae|groove_consistency|same_minus_unrelated,conditional_vae,groove_consistency,rhythm,64,0.3945605439456054,1.0,1.0,0.008411980347037457,-0.011754340867526884,0.02766948204319915
transformer_l|groove_consistency|same_minus_unrelated,transformer_l,groove_consistency,rhythm,60,0.41615838416158385,1.0,1.0,-0.010896568867898993,-0.03590237592460718,0.01448244385352062
conditional_vae|grooving_pattern_similarity|same_minus_unrelated,conditional_vae,grooving_pattern_similarity,rhythm,64,0.39516048395160486,1.0,1.0,0.00834600396098914,-0.011478386217665427,0.02766012716830292
transformer_l|grooving_pattern_similarity|same_minus_unrelated,transformer_l,grooving_pattern_similarity,rhythm,60,0.40355964403559647,1.0,1.0,-0.010928842659731907,-0.03611294225567267,0.014549476652637953
conditional_vae|ioi_mean|same_minus_unrelated,conditional_vae,ioi_mean,rhythm,100,0.9501049895010499,1.0,1.0,-0.0013797512035584457,-0.03887935056192364,0.0364421597503125
transformer_l|ioi_mean|same_minus_unrelated,transformer_l,ioi_mean,rhythm,100,0.3965603439656034,1.0,1.0,-0.032369862535684274,-0.10837404225297594,0.036846999083541346
conditional_vae|ioi_variance|same_minus_unrelated,conditional_vae,ioi_variance,rhythm,100,0.4637536246375362,1.0,1.0,0.3559239688694884,-0.11345375995877,1.174232872684364
transformer_l|ioi_variance|same_minus_unrelated,transformer_l,ioi_variance,rhythm,100,0.21077892210778923,1.0,1.0,-0.1507922797759456,-0.4547725916346207,0.04831445874922602
conditional_vae|ioi_entropy|same_minus_unrelated,conditional_vae,ioi_entropy,rhythm,100,0.040195980401959805,0.8039196080391962,1.0,0.03432614563891536,0.0017628893439053913,0.06720872263533104
transformer_l|ioi_entropy|same_minus_unrelated,transformer_l,ioi_entropy,rhythm,100,0.32756724327567244,1.0,1.0,-0.015086782857912878,-0.04490663567802557,0.01570099293314004
conditional_vae|ioi_jsd_to_receiver|same_minus_unrelated,conditional_vae,ioi_jsd_to_receiver,rhythm,100,0.13358664133586642,1.0,1.0,-0.006838651776282927,-0.01598122193561384,0.0022808736597618603
transformer_l|ioi_jsd_to_receiver|same_minus_unrelated,transformer_l,ioi_jsd_to_receiver,rhythm,100,0.48975102489751027,1.0,1.0,-0.003918087591212663,-0.014986741736944186,0.00699165340300698
