model,metric,contrast,mean_effect,median_effect,ci95_low,ci95_high,raw_p,standardized_paired_effect,relative_effect
transformer_l,bar_pair_similarity,same_minus_unrelated,0.008169291572142905,0.0036562159130809043,-0.001053580356139219,0.01843457320249841,0.0841915808419158,0.21390737683700176,
transformer_l,bar_pair_similarity,same_minus_clean,0.00016300966971368244,0.0,-0.008488040420989043,0.008470874118823846,0.9391060893910609,0.004946293468698003,
transformer_l,bar_pair_similarity,unrelated_minus_clean,-0.005341248672786338,0.0,-0.014933176834582583,0.0037489954030387193,0.260973902609739,-0.14510662097789775,
transformer_l,si_short,same_minus_unrelated,0.0002314814814814815,0.0,-0.00013888888888888883,0.0008333333333333334,0.7097290270972902,0.10582861748800718,
transformer_l,si_short,same_minus_clean,-3.3738191632928474e-05,0.0,-0.00010121457489878543,0.0,0.7259274072592741,-0.13245323570650436,
transformer_l,si_short,unrelated_minus_clean,-0.00027740290898185636,0.0,-0.0008771929824561404,4.498425551057123e-05,0.7489251074892511,-0.1253813881634086,
transformer_l,si_medium,same_minus_unrelated,0.00226521164021164,0.0,-0.004315476190476191,0.01111111111111111,0.696930306969303,0.23584087008219354,
transformer_l,si_medium,same_minus_clean,-0.008128908128908128,0.0,-0.022943722943722943,0.0,0.1571842815718428,-0.5006885454785462,
transformer_l,si_medium,unrelated_minus_clean,-0.01299264971139971,0.0,-0.041666666666666664,0.0026887175324675325,0.6291370862913709,-0.4570764388669697,
transformer_l,si_long,same_minus_unrelated,-0.003401360544217684,-0.003401360544217684,-0.003401360544217684,-0.003401360544217684,0.00019998000199980003,,
transformer_l,si_long,same_minus_clean,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.00019998000199980003,,
transformer_l,si_long,unrelated_minus_clean,0.017290249433106572,0.017290249433106572,0.017290249433106572,0.017290249433106572,0.00019998000199980003,,
transformer_l,motif_repetition_rate,same_minus_unrelated,-4.13255360623781e-05,0.0,-0.0009239766081871344,0.0008,0.9735026497350265,-0.010093533719898946,
transformer_l,motif_repetition_rate,same_minus_clean,5.2910052910052834e-06,0.0,0.0,1.5873015873015852e-05,0.7325267473252675,0.09999999999999998,
transformer_l,motif_repetition_rate,unrelated_minus_clean,4.661654135338342e-05,0.0,-0.0008,0.0009398496240601503,0.9857014298570143,0.011274871282324808,
transformer_l,repeated_pattern_count,same_minus_unrelated,-0.002,0.0,-0.008,0.002,0.7613238676132387,-0.07258837066150971,
transformer_l,repeated_pattern_count,same_minus_clean,-0.0006666666666666666,0.0,-0.002,0.0,0.7281271872812719,-0.09999999999999999,
transformer_l,repeated_pattern_count,unrelated_minus_clean,0.001333333333333333,0.0,-0.002,0.006,0.813918608139186,0.06305476678616634,
transformer_l,mean_repeated_pattern_length,same_minus_unrelated,0.0,0.0,0.0,0.0,1.0,,
transformer_l,mean_repeated_pattern_length,same_minus_clean,-0.19999999999999996,-0.19999999999999996,-0.3999999999999999,0.0,0.5053494650534947,-0.7071067811865475,
transformer_l,mean_repeated_pattern_length,unrelated_minus_clean,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,0.00019998000199980003,,
transformer_l,longest_repeated_pattern_length,same_minus_unrelated,0.0,0.0,-0.002,0.002,1.0,0.0,
transformer_l,longest_repeated_pattern_length,same_minus_clean,-0.0006666666666666666,0.0,-0.002,0.0,0.7229277072292771,-0.09999999999999999,
transformer_l,longest_repeated_pattern_length,unrelated_minus_clean,-0.0006666666666666666,0.0,-0.002,0.0,0.7303269673032696,-0.09999999999999999,
transformer_l,self_similarity_offdiag_mean,same_minus_unrelated,0.007960898237532864,0.0031122492220890382,-0.0012694069246945942,0.01809419283748242,0.097990200979902,0.20728839069816113,
transformer_l,self_similarity_offdiag_mean,same_minus_clean,-9.213797672191015e-05,0.0,-0.008890794908342551,0.008173522546377916,1.0,-0.0027455957372183545,
transformer_l,self_similarity_offdiag_mean,unrelated_minus_clean,-0.005377034914369255,0.0,-0.0156605566197431,0.0040739836957165345,0.28077192280771923,-0.14119076263425687,
