file_md5,work_group,recording_group,source_split,experiment_split
005ef30d06559e7ab97af42540e4a9bc,cc220e0485276470799972ba,fd972150ed3509d552635b1d,calibration,calibration
00c05e16e26663ccbcd089b873770410,cff124e5844f819eb002d6a0,2309ded37b14fd5d3d516187,train,fit
00c119349820350d2fce0ff82b3cb0e0,f3c643ea795240c73b043f2e,c1c5944c3664f2761b883859,train,fit
011780bd467da8e85119f9da5a8315fe,c5041164b1bf99f86aa392ba,a1ddb47929f74bda32ee359c,train,fit
01c2375402c6ac71a6087156a2472bf5,182bb3d9ec56b379eb3c2bb3,7b79e4037cec6d6530e8b75d,train,fit
01e85330e2c5b508f308955804194a03,730fb1901d3f12b6db6323b4,3434bff0289eef5ced19eac5,calibration,calibration
0201a2541659a5fdccc08bf5ef2c6e0e,db6bdf7c330e27f06ce52c2b,f8d4ebfd3c5708f173189a69,train,tune
0257110d597bc6b1da3de215ba9ae4d9,af930af6f6e75fd8f389c2d4,7655ca3d47b97e5b5deaf838,train,fit
026f640c6732c7c8c9f7fe640ff5ccf7,e257004e17518f9702b9a463,bd845d6b9255cd44e1a353a5,calibration,calibration
027eee60e875d9543de1ccffec52730c,db6bdf7c330e27f06ce52c2b,67a77723d02ec2ecf1abf2ef,train,tune
02a278ead1797fdd152b3866cb099e03,279f6b6e5fdadddf720d34d4,90b8d6354d25858a5a4cbd1a,train,fit
02e1b5b98e917bf14486be1320dd35b2,bc19f8e44cfbf64980921f1d,fa8004e3dede9462dca01289,train,tune
03581d53664e553ea1bba8e220174d94,813b64a7f1fa32901f55d488,46a584f4be93c6e88f7223a0,train,fit
03dc4ee64af829396227170f1c1d670f,450541b742d6689cf922161f,f98f0d3e41905431b17af8f7,train,fit
03eb725d73e98dd52dd026fe8c31e531,e15571ab2eff31fa9c451fb3,7c1ed19f6e286dc0ec4baac0,train,fit
03fd9d21b1bc89bd14dd83c92a30ff84,723b18260faf96c16260ce29,ef988e8f95c0410be4eee971,train,fit
040ab234e6b3dfc62e2d23c9a49ea46c,785b3e7e9418841b5a47f2f7,457dbed0d90b2637802e8d17,train,fit
040dd41b044432f900c5dcd51094ce11,6152a2bf727060aff28878d8,3bb08d81cc8a3431a1382a2f,train,tune
0465bb32b04843e1deaf8ed89e47152b,4bfb42a11bed7a2412ad132b,b71decaa698275fa6b433661,train,tune
04913f26faaaa017b7bc8963dcfbe8f1,785b3e7e9418841b5a47f2f7,72af515f0077bcfe880732d8,train,fit
04c137dc7e7b47fef3e13f95a4a185c5,bf1cf5b6e04de1251139c6e8,fa2e3ccb4d8415ccbca37a1c,train,fit
052829b2c0f6e8a648b6269053a9aeea,1a7eb3f6d89e4a3ca265b382,aa9414acfa923fc52493e9f7,train,tune
056251f95dade80c09c2c20d5f734f67,37ab7738ffd235ee411e187c,ed4a6dcc67b135136b4c0f86,train,fit
057fbdd3b4e5bad7a4332d404bad2084,695c96c5dda174a4f040fee3,9fa5cd7a718d47e30e97f5fd,train,tune
07c88cc63a18e88194ceb9e05232b02e,9d0e10e1c75e253ecfeb1f9b,7f00bfe0f2a78cf763b7aaab,calibration,calibration
07cfc7a3954f2c9fb41b895c9d4c1f0f,f63b02b591984aa04a73e26c,45d58f4823319be54850095f,train,fit
0801eb49a7cda500328ecd718e264817,db6bdf7c330e27f06ce52c2b,27d2a587a3a99242f1d2e083,train,tune
080f36f18753af0d26a6b8881b8f97df,129736b216fffa8fe4ed8e8b,36837d9e7f77b707821a7dfe,train,tune
08689e69fb6896e33d1b633b11894a9f,e9b7794a56b93a012579b00b,4cd08e8de2e5b6fec99d66e8,calibration,calibration
087aab459232d5ede60d9df90781c3d8,831ce1013970f26b94909a96,a6943abcf73edcad5092d886,train,fit
08a82cf2f84529149a676e1f38f7a4c9,d51e01108783a47da1e5baa6,f01a64d1e44a2bde25665f10,calibration,calibration
08ca90a885f3b392302fad5a4dd6fa59,7c18a4f43d554452d17fe95b,53c049e7c356546a0f6863ab,train,fit
0927f9ed28e0b1161039f3a006b1b60c,146b8568dfa29643781eb5c6,5a747356261afd2a0ec94b91,train,fit
0a802d60bcbda3f94a0f689ba19d8512,03bb8ebbda655c219d7653b9,7a2addb06df173b3a84aa72a,train,fit
0ae0d93d153bb9fe6393fba3798df36b,fa4b4f407f8acfa02ab9f533,adea86aed61fd4df1f9d22cd,train,fit
0b32677c95926e917970fbf598f9b689,8200a47a6ca9618d04b264dd,2b0203d1a91e9401c3c64491,train,fit
0b4849b6f52574237bc40343d6b894cc,a73c9b461ac1840429cd53d4,2c779b6fd5a9d76606cb1aa0,calibration,calibration
0b79c1cbe957b992dec2aba47cc08ec9,da1012afb968710a4adf9df7,07600fe32875b7b61384dee4,calibration,calibration
0b9aaacabae7145c224b9204fd1c7786,730fb1901d3f12b6db6323b4,3434bff0289eef5ced19eac5,calibration,calibration
0be7d290d8dffb27dd2b107f2f101494,023fa7fcc7997bb622dc2af5,e3bfa8dd9e8a07b291eea5af,train,tune
0c2cffecf3cc66841cc618e758e60c2a,ba7760f927decd37f52e3e0b,2d83ba511d22a424d9de93a9,train,fit
0cf4a74f8b4333e457240312ade58060,f3f1171d21d6583cced3c5af,682d036ed2d479dd7f812821,train,fit
0d1638705d5c01429f644a6a307a12f3,d03da9b2ba3034d64ec5c815,892cbb235a79d88eff9da5ce,train,fit
0d4618bede0d6ce125134a84ee3583bb,8fc282c294be77e0d8701b6d,d1bdc7a03b7a12728e687728,train,fit
0d6ddb5c90dd6f9acbbad00f37661693,730fb1901d3f12b6db6323b4,e1a96e6006820ff065d81d65,calibration,calibration
0d7decccda9d1d00625404f578d69a6a,033822bc7e351df31e1dc845,f70479cf29070ef5d4c0361e,train,fit
0e6a8b9744090d4cca5e359854f80abb,f66f6e86e337f6b7e3e28a57,f540a5e863aaa6c814419be3,calibration,calibration
0e8bb30b9c7d4d6e042928e944a40c81,8a299d74de01c6c938c81838,c50612fcbc10d5e6c2ac4515,train,fit
0ea80547d8834e8715dcc4f9d9b7a343,883edfb979ebc5a358034d2a,779974250cc34e21ad2f3ca3,train,fit
0eaf28860f7dec3d62c8f6639080840d,db6bdf7c330e27f06ce52c2b,b6d1e536d4ac1681792a89ec,train,tune
0ebc0fb3402b7d2ac0753832649fa0f9,1c379a2aec4ee615eba1c356,192ea09d746166934050bde3,train,tune
0f1ab2a2fff67a873e0b050cc306056a,4ead96eb6b56b255274fb4ac,0a9bb4f0d0c6f83d9f291148,calibration,calibration
0fb2738cc10fb0799c359bfdc3c95947,9d0e10e1c75e253ecfeb1f9b,7f00bfe0f2a78cf763b7aaab,calibration,calibration
0fc554e322844f66e9605928b0b082dd,3f65e65eb673a8021884fae0,6d33eddbe33cd23a360cbab5,train,fit
10b3fae1c69344195e77bdca78ded098,b2948473d57e8419be8e7d84,7d74bf0ca328f97c585ae5e6,train,tune
110f9ddf22422a776dbfd84075f1d3ed,8640eff6201c8738a35881a6,c7057c2ff499f857de0e57d8,calibration,calibration
11cf9fa9515b306554acd358e866fc2e,9d0e10e1c75e253ecfeb1f9b,7f00bfe0f2a78cf763b7aaab,calibration,calibration
11f1c9ff463d6626328a84a54e14258e,d7af677cb2606455fd3bd1ec,cecf4c5b63343b8b240d2ddb,train,fit
12447459a246a62c0870fc3385aee01b,3f310385c1045b2ec5316e03,bbd83c7c0e38ff88af2210ad,calibration,calibration
12710d58d8a029af4eac8b6192cb60f1,f63b02b591984aa04a73e26c,45d58f4823319be54850095f,train,fit
128f0968b50b251b14bc4e16b1e0dc06,450541b742d6689cf922161f,f98f0d3e41905431b17af8f7,train,fit
1318c9c0586ff8223528fbe8157eb025,a9f7acc8acd414374b864f82,8e06f3d6c5c931788dced8d3,train,fit
1374fc876b3e9c054406e7823f62a15b,db6bdf7c330e27f06ce52c2b,27d2a587a3a99242f1d2e083,train,tune
13d88a97e0b842c845f2d7920edc53d1,9f6bbd1195ffad0bd5e0e66b,34c51a6c0abba58b3d0af946,train,fit
13e1caef5796edb842a0602cf111c7e0,560e298300292859bdc4a864,a21549b6148e59f8bd9dd11b,train,tune
13f7435826a42961ffa04acd9797190c,fe0116211f382c286f59aec8,8a91cab88c124c90409391fd,calibration,calibration
1418a5182d4d55d2f100d43709088db2,707fa3eabc67fb65e1df4e27,88ddedfd4e0e0558dfd510d3,calibration,calibration
1466b30db6568938b87f0ade0580e3ec,2a265ab48d1404ce78953de3,7f4845c58927e17d3a16b9b5,calibration,calibration
1477082dac2ff85b0a290bee78903aa6,e75bd5630b3c884b430c81b2,d602b4b4adb68313efdcaef5,train,fit
14dd083bb161517d32f956dadc636b21,c6e3821c1487c7ef20d9d619,d3d9d4e1ff7c0251049439e7,train,tune
14e36e4e7d4c805d575ec8615e784774,81389228a1a18e7b8bb74127,c4d30a6b1f3ffeb994abbe1b,train,fit
1518cf81224a9d0f0577604edb83e6c3,ef850c78d8e9881cc98ba511,76f3fffb7887ac716d41fb37,train,fit
1539bf4a4eace489d212a56877c55cc4,ba4a89be289b618c03954780,0c3851404e0f5e00f9bcd0a5,calibration,calibration
15505cc07dc33cc64429159b39cb1074,695c96c5dda174a4f040fee3,9fa5cd7a718d47e30e97f5fd,train,tune
15846a1c24933574cb501b432715ba03,c28886f8f13295326ede01b3,4ceff97c4c9ed8f7f4bc4979,calibration,calibration
15c365537ab957c225499be9c948541a,2752f5aa597ec632ff863c81,4b90189b429b80f63fc744ae,train,fit
15c6c66fcf8c5d1bd419a1134a7d1468,c5041164b1bf99f86aa392ba,a1ddb47929f74bda32ee359c,train,fit
15dfa397d59fef519e980eb62da343e1,b2948473d57e8419be8e7d84,aa8de93cfb153b9a75e71ebd,train,tune
160ede6d9ac18560b7051b719dc838b5,6c5c6e0d581f8a1e9125137d,7abaaf45735d60183b83f60f,train,fit
1615181aca3966eb52551528b962ff28,8640eff6201c8738a35881a6,c14b81dd7ad805f6551fd4a2,calibration,calibration
