split,piece_id,md5,piece_sha256,family_id,bars,track_count,relation_stratum
treated,treated:40d68db4ce42232c61f061fc5f21c4d05c6db63eaa405be0f4a61e2e10564e32,273665210fad3c83b4b53bddea816bce,98938743aef5827c6937877fb501657bddd12e830bf0e7023bd75f6e1430b2dc,40d68db4ce42232c61f061fc5f21c4d05c6db63eaa405be0f4a61e2e10564e32,37,6,structurally_nonexact
treated,treated:bfe135ca77404390fed2be59fc93cba7dd1daf0a90d2e2fb7620709dc94d653d,0ed076c57098d8caae18ce7aca772273,72a3e126a64e4e378fe0fa6512e6d6e197ac9f0cfe1fb319fddabbccf7b3e473,bfe135ca77404390fed2be59fc93cba7dd1daf0a90d2e2fb7620709dc94d653d,32,12,structurally_nonexact
treated,treated:e6fa9ed4b17a31b97fcea1bf6758ca27c7554e19734fb93663bfe5f1bc7d7f57,4c46b8a847007083b17620635e487e1c,4b027a30a948baf104fe785f27d7c3eaa89b0d1beeb08b131dd8c4efb001f079,e6fa9ed4b17a31b97fcea1bf6758ca27c7554e19734fb93663bfe5f1bc7d7f57,92,1,structurally_nonexact
treated,treated:aa3e65ac70be3353e68fc0a3ef226974c48a9c9f8f4f64ac859cdb364ab78af9,eb11949c144a5ff80ff32d6649cc748b,9e96a3d46cb257a8fbe9dd793eb2f49a372cb35f6d867d218b165c01f54d775f,aa3e65ac70be3353e68fc0a3ef226974c48a9c9f8f4f64ac859cdb364ab78af9,53,1,structurally_nonexact
treated,treated:597eec63cd1de591414ebd22e6cf2a3d528a58e7559f245fb2165080c438a85b,88b52e887e34c320e6d425941adf21ab,d609434ee5e40116f521bbe96fb21d6a02f5d69ec531849750f7dfb35856b795,597eec63cd1de591414ebd22e6cf2a3d528a58e7559f245fb2165080c438a85b,61,9,structurally_nonexact
treated,treated:1aaed6223b191e49a69a1ab142b1a6e068379c34aef17a65010eced0c67923cd,bea934891184c8d389bebf4e5b578d4b,761fa65157a2d484d017cce5310cbd50ef66c85d84b00eb39f44263f3467d82b,1aaed6223b191e49a69a1ab142b1a6e068379c34aef17a65010eced0c67923cd,147,1,structurally_nonexact
treated,treated:cc0ac25d040e3116acb5939ac7b25d1317aa36ee518d7e1637f7b8102edd61f3,491e843988f6f001557053027ed117c6,46952d7dbc3f61a1fa28cdc36e2eca285225799dd8e65881abce50de6c523dee,cc0ac25d040e3116acb5939ac7b25d1317aa36ee518d7e1637f7b8102edd61f3,96,20,structurally_nonexact
treated,treated:595e761e11ebf9bc2f6f8585604635f8d569d31a1f502d503aac73139d732861,2613cca5c83e82a53f8202351d0d2d19,a029dc0eae4eaaea9518caff8212cc9d9a188451ad1b1bf347f3aee0bb2fed28,595e761e11ebf9bc2f6f8585604635f8d569d31a1f502d503aac73139d732861,65,7,canonical_event_exact
treated,treated:e59df3020d1de921e652b54d32dc615449c9e77ef7fbbe6dfd685c143a6152f2,e27838c78c0e748edbb12e43df52d106,7937b8448acd83c813550041d0f9366ea57c1ad01e854a39d99b45a6e607d2aa,e59df3020d1de921e652b54d32dc615449c9e77ef7fbbe6dfd685c143a6152f2,90,9,structurally_nonexact
treated,treated:6bc06ef919b1c370f8528eba074b22163035dcc6b540d9e631f00b7ed0a026a4,c22db05321a473400907b2fbbfb015a9,3c08e5a3951368f2074ac63845d1a7b89871aeacff42302b96a652108bb889ee,6bc06ef919b1c370f8528eba074b22163035dcc6b540d9e631f00b7ed0a026a4,143,1,structurally_nonexact
