bootstrap_B,bootstrap_unit,ci_high,ci_low,cohort,condition_a,condition_b,dataset,effect,effect_sign_definition,estimand,evidence_tier,experiment_id,figure_target,manuscript_use,mean_a,mean_b,metric,model,n_families,n_files,n_seeds,notes,p_adjusted,p_raw,protocol,recompute_allowed,relative_effect,result_family_id,result_id,section_role,status,table_target,unit
,,,,frozen downstream identity universe,,,LMD,,,descriptive census,FORMAL,EXP_LMD_CENSUS,Fig1,main,178561,,Frozen downstream identities,not_applicable,,,,"178,561 is the frozen downstream identity universe, not official raw LMD count.",,,frozen family census,NO,,RF_LMD_CENSUS,lmd_census_frozen_downstream_identities,census,FORMAL,Table 1,identity/file/family count
,,,,frozen downstream identity universe,,,LMD,,,descriptive census,FORMAL,EXP_LMD_CENSUS,Fig1,main,140427,,Total family components,not_applicable,,,,"178,561 is the frozen downstream identity universe, not official raw LMD count.",,,frozen family census,NO,,RF_LMD_CENSUS,lmd_census_total_family_components,census,FORMAL,Table 1,identity/file/family count
,,,,frozen downstream identity universe,,,LMD,,,descriptive census,FORMAL,EXP_LMD_CENSUS,Fig1,main,20797,,Multi-member families,not_applicable,,,,"178,561 is the frozen downstream identity universe, not official raw LMD count.",,,frozen family census,NO,,RF_LMD_CENSUS,lmd_census_multi_member_families,census,FORMAL,Table 1,identity/file/family count
,,,,frozen downstream identity universe,,,LMD,,,descriptive census,FORMAL,EXP_LMD_CENSUS,Fig1,main,58931,,Files in multi-member families,not_applicable,,,,"178,561 is the frozen downstream identity universe, not official raw LMD count.",,,frozen family census,NO,,RF_LMD_CENSUS,lmd_census_files_in_multi_member_families,census,FORMAL,Table 1,identity/file/family count
,,,,frozen downstream identity universe,,,LMD,,,descriptive census,FORMAL,EXP_LMD_CENSUS,Fig1,main,66,,Largest family,not_applicable,,,,"178,561 is the frozen downstream identity universe, not official raw LMD count.",,,frozen family census,NO,,RF_LMD_CENSUS,lmd_census_largest_family,census,FORMAL,Table 1,identity/file/family count
,,,,80/10/10,,,LMD,,,known contaminated test-family rate,FORMAL,EXP_LMD_CENSUS,Fig1,main,0.27656693423377177,,test-family contamination,not_applicable,,,1000,1000 random splits; adopted family definition.,,,random file split,NO,,RF_LMD_RANDOM_SPLIT,lmd_80_10_10_test_family_contamination,prevalence,FORMAL,Table 1,rate
,,,,80/10/10,,,LMD,,,known contaminated test-file rate,FORMAL,EXP_LMD_CENSUS,Fig1,main,0.297670108,,test-file contamination,not_applicable,,,1000,Only filled where formally present in the selected source.,,,random file split,NO,,RF_LMD_RANDOM_SPLIT,lmd_80_10_10_test_file_contamination,prevalence,FORMAL,Table 1,rate
,,,,90/5/5,,,LMD,,,known contaminated test-family rate,FORMAL,EXP_LMD_CENSUS,Fig1,main,0.30304742702995,,test-family contamination,not_applicable,,,1000,1000 random splits; adopted family definition.,,,random file split,NO,,RF_LMD_RANDOM_SPLIT,lmd_90_5_5_test_family_contamination,prevalence,FORMAL,Table 1,rate
,,,,90/5/5,,,LMD,,,known contaminated test-file rate,SECONDARY,EXP_LMD_CENSUS,Fig1,not_reported,,,test-file contamination,not_applicable,,,1000,Only filled where formally present in the selected source.,,,random file split,NO,,RF_LMD_RANDOM_SPLIT,lmd_90_5_5_test_file_contamination,prevalence,MISSING_NOT_REPORTED,Table 1,rate
,,,,90/10,,,LMD,,,known contaminated test-family rate,FORMAL,EXP_LMD_CENSUS,Fig1,main,0.2933883364544102,,test-family contamination,not_applicable,,,1000,1000 random splits; adopted family definition.,,,random file split,NO,,RF_LMD_RANDOM_SPLIT,lmd_90_10_test_family_contamination,prevalence,FORMAL,Table 1,rate
