variant,fp_injection_ratio,relation_precision,over_merge_components,largest_component_mean,largest_component_q025,largest_component_q975,split_ratio_error
bounded,0.0,1.0,0.0,66.0,66.0,66.0,1.120065411752691e-06
bounded,0.001,0.9982618229428845,37.97,66.07,66.0,67.0,1.120065411752691e-06
bounded,0.005,0.991558780957756,191.31,66.42,66.0,73.04999999999998,1.120065411752691e-06
bounded,0.01,0.9830859641367217,381.77,66.6,66.0,69.0,1.120065411752691e-06
bounded,0.02,0.9657658377121109,764.29,67.57,66.0,74.0,1.120065411752691e-06
bounded,0.05,0.9144479293376686,1921.82,70.16,66.0,81.04999999999998,1.120065411752691e-06
global_chain,0.0,1.0,0.0,66.0,66.0,66.0,1.120065411752691e-06
global_chain,0.001,0.99836153944785,37.96,66.01,66.0,66.0,1.120065411752691e-06
global_chain,0.005,0.9911708327659209,191.26,66.89,66.0,75.52499999999999,1.120065411752691e-06
global_chain,0.01,0.9830070827719847,381.57,66.76,66.0,70.52499999999999,1.120065411752691e-06
global_chain,0.02,0.9660928452210937,764.88,67.41,66.0,74.0,1.120065411752691e-06
global_chain,0.05,0.9144912801191585,1920.4,69.31,66.0,76.0,1.120065411752691e-06
